"Project","Location","Type","Buyer","Amount","AmountWan","Contractor","AwardTime","Confidence","Source","Evidence"
"昆明市公安局西山分局无人机反制设备采购项目中标结果公告","昆明市","公共安全/军警安防","昆明市公安局西山分局","74.68 万元","74.68","浙江凡双科技股份有限公司","2025年10月16日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202510/t20251016_25519531.htm","昆明市公安局西山分局 无人机反制设备 采购项目 中标 结果 公告 2025年10月16日 - 货物类 标段名称:A包:看守所购买 无人机 侦测 反制设备 名称:固定式 无人机反制设备 品牌:凡双科技 规格型号:型号:FS-UAV-DS200R-AB 数量:1套 单... www.ccgp.gov.cn 反馈"
"石泉县公安局无人机反制设备采购项目中标（成交）结果公告","石泉县","侦测反制服务/租赁","石泉县公安局","16.88 万元","16.88","公开信息未披露","2025年09月30日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202509/t20250930_25447729.htm","石泉县公安局 无人机反制设备 采购项目 中标 (成交)结果 公告 2025年9月30日 - 合同包号 合同包名称 代理服务费金额(万元) 收取对象 1 石泉县公安局 无人机反制设备 采购项目 0.3 中标 (成交)供应商 七、 公告 期限.石泉县公安局无... www.ccgp.gov.cn 反馈"
"保德县公安局无人机反制设备采购结果公告","山西省","公共安全/军警安防","保德县公安局","41.7 万元","41.7","公开信息未披露","2025年12月17日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251217_25943334.htm","保德县公安局 无人机反制设备 采购结果 公告 2025年12月17日 - 二、项目名称:保德县公安局 无人机反制设备 采购.序号 供应商名称 供应商地址 中标 (成交)金额 评审总得分 1 太原市鸿台科技有限公司 南内环98-2... www.ccgp.gov.cn 反馈"
"武汉市公安局黄陂区分局购买 无人机反制 枪项目 成交公告","公开信息未披露","公共安全/军警安防","武汉市公安局黄陂区分局","23.4 万元","23.4","公开信息未披露","2022年3月11日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202203/t20220311_17661394.htm","武汉市公安局黄陂区分局购买 无人机反制 枪项目 成交公告 2022年3月11日 - 采购项目 名称 购买 无人机反制 枪项目 .总 成交金额 ￥23.400000 万元(人民币) ... www.ccgp.gov.cn 反馈"
"绵阳市公安局经济技术开发区分局 无人机反制设备中标（成交）结果公告","绵阳市经济开发区","公共安全/军警安防","绵阳市公安局经济技术开发区分局","34.3 万元","34.3","公开信息未披露","2024年12月03日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202412/t20241203_23775431.htm","绵阳市公安局经济技术开发区分局 无人机反制 设备 中标 (成交)结果 公告 2024年12月3日 - 无人机反制 设备-文件集附件2 .品目号 品目名称 采购标的 品牌 规格型号 数量(单位) 单价(元) A02439900 其他航空器及其配套设备 融合通讯模块 ... www.ccgp.gov.cn 反馈"
"无人机反制设备（第二批）采购项目中标(成交)结果公告","新疆维吾尔自治区","公共安全/军警安防","昌吉回族自治州公安局","158.78 万元","158.78","公开信息未披露","2025年09月18日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202509/t20250918_25371641.htm","无人机反制设备 (第二批)采购项目 中标 (成交)结果 公告 2025年9月18日 - 二、项目名称: 无人机 反制设备(第二批)采购项目.序号 供应商名称 供应商地址 中标 (成交)金额 评审报价 1 江苏锐盾警用装备制造有限公司 靖江市城南园区... www.ccgp.gov.cn 反馈"
"某单位无人机反制系统采购项目中标公告","新疆维吾尔自治区","公共安全/军警安防","某单位","32.8 万元","32.8","星际控股集团有限公司","2024年05月28日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202405/t20240528_22217790.htm","某单位 无人机反制 系统采购项目 中标公告 2024年5月28日 - 序号 供应商名称 货物 名称 货物品牌 货物型号 货物数量 货物单价(元) 1 星际控股集团有限公司 无人机反制 / XJ-HNTD-1、WRJG-SC06 1 328000 ... www.ccgp.gov.cn 反馈"
"兰州市公安局无人机反制设备购置中标公告","兰州市","公共安全/军警安防","兰州市公安局","64.8 万元","64.8","公开信息未披露","2023年09月14日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202309/t20230914_20704879.htm","兰州市公安局 无人机反制 设备购置 中标公告 2023年9月14日 - 王浩 项目联.... 公告 信息: 采购项目 名称 兰州市公安局 无人机反制 设备购置 品目 货物/通用设备/通信设备/天线/其... 王浩 总 中标金额 ￥64.800000 ... www.ccgp.gov.cn 反馈"
"某部无人机反制设备采购中标公告","成都市","公共安全/军警安防","某部","28.9 万元","28.9","四川省商投信息技术有限责任公司","2023年12月22日","A-官方公告","http://www.ccgp.gov.cn/cggg/zygg/zbgg/202312/t20231222_21326133.htm","某部 无人机反制 设备采购 中标公告 2023年12月22日 - 二、项目 名称 :某部 无人机 反制设备采购. 中标 (成交) 金额 :28.9000000(万元)... www.ccgp.gov.cn 反馈"
"南昌市 无人机反制 装备项目采购公告竞价 成交公告","江西","侦测反制装备","公开信息未披露","10.45 万元","10.45","公开信息未披露","2025年12月9日","B-公开转载","https://jx.bidcenter.com.cn/zbcontent-394187096-4.html","南昌市 无人机反制 装备项目采购公告竞价 成交公告 -江西招标网 2025年12月9日 - 成交 供应商 名称 、联系地址及 成交 金额:.总 成交 金额:10.45 (万元)... jx.bidcenter.com.cn 反馈"
"无人机反制设备竞价成交公告","北京","公共安全/军警安防","贵安新区公安局","36.97 万元","36.97","公开信息未披露","2025年08月27日","B-公开转载","https://www.bid110.com/view/824/y8cc55gBVX3Ep-czWBoe.html","无人机反制 设备竞价 成交公告 _招标详情 2025年8月27日 - 成交 供应商 名称 、联系地址及 成交 金额:.总 成交 金额:36.97 (万元)... www.bid110.com 反馈"
"某部无人机反制装备采购项目中标公告","北京","公共安全/军警安防","某部","46.3286 万元","46.3286","中国联合网络通信有限公司西双版纳傣族自治州分公司","2025年1月8日","B-公开转载","https://yn.zhiliaobiaoxun.com/article/49584401","某部 无人机反制 装备采购项目 中标公告 2025年1月8日 - 无人机反制 装备频谱探测 设备 全频全向干扰 设备 项目地区:云南 西双版纳. 中标 (成交)金额:46.3286000(万元)... yn.zhiliaobiaoxun.com 反馈"
"无人机反制 系统 中标 成交结果公示-采招网 2024年2月1日","北京","侦测反制系统/平台","公开信息未披露","105 万元","105","理工全盛(北京)科技有限公司","2024年2月1日","B-公开转载","https://www.bidcenter.com.cn/newscontent-271172616-4.html","无人机反制 系统 中标 成交结果公示-采招网 2024年2月1日 - 五、预 中标 (成交) 供应商 . 名称 :理工全盛(北京)科技有限公司, 报价 金额 1,050,000.00元 ; 地址:北京市海淀区知春路76号(写字楼)1号楼4层1-7。. 供应商 对... www.bidcenter.com.cn 反馈"
"******","北京","侦测反制装备","公开信息未披露","91.65 万元","91.65","的信息，否则将视为无效短信。工作时间为周一至周五（8:00至11:30、14:30至17:30））","2025年09月23日","B-公开转载","https://www.chinamae.com/purchases/c19cea9e9971d343612d7ae4fe77f8a3.html","无人机反制 设备采购中标( 成交 )结果公示 2025年9月19日 - 五、预中标( 成交 )供应商. 名称 :*有限公司,报价 金额 916,500.00元;地址:西安曲江新区慈恩西路8号。. 供应商 对预中标( 成交 )结果如有异议,应当自本公示期限... www.chinamae.com 反馈"
"达坂城区 无人机反制 系统竞价 成交公告","新疆","侦测反制系统/平台","公开信息未披露","24.3 万元","24.3","公开信息未披露","2025年5月23日","B-公开转载","https://xj.bidcenter.com.cn/zbcontent-356752206-4.html","达坂城区 无人机反制 系统竞价 成交公告 -新疆招标网 2025年5月23日 - 成交供应 商名称 、联系地址及 成交金额 :.总成交金额:24.3(万元)... xj.bidcenter.com.cn 反馈"
"无人机反制枪采购成交公告","漳浦县","公共安全/军警安防","某单位","13.8 万元","13.8","南京千里眼航空科技有限公司","2022年12月30日","B-公开转载","https://www.bid110.com/view/537/qrsdYYUBzcw65Br6g3R8.html","无人机反制 枪采购 成交公告 _招标详情 2022年12月30日 - 1 南京千里眼航空科技有限公司 无人机 反制枪 南京千里眼航空 详见谈判文件及 成交 人报价文件 1 138000 .行政区域 漳浦县 公告 时间 2022年12月30日 11:1... www.bid110.com 反馈"
"******","北京","侦测反制装备","公开信息未披露","186 万元","186","的信息，否则将视为无效短信。工作时间为周一至周五（8:00至11:30、14:30至17:30））","2025年09月23日","B-公开转载","https://www.chinamae.com/purchases/567ae03600cb204b61a6bdc2ff593907.html","无人机 及 无人机反制 设备采购项目 中标 (成交)结果公示 2025年9月19日 - 供应商对预 中标 (成交)结果如有异议,应当自本公示期限内以书面形式向我部提出质疑。.我部对 无人机 及 无人机反制 设备采购项目采购项目进行了公开招标采购... www.chinamae.com 反馈"
"无人机反制 系统采购项目( 中标公告","北京","侦测反制系统/平台","公开信息未披露","186.0544 万元","186.0544","公开信息未披露","2025年12月1日","B-公开转载","https://gs.bidizhaobiao.com/info-752059557.html","无人机反制 系统采购项目( 中标公告 )-甘肃招标网 2025年12月1日 - 五、预 中标 (成交) 供应商 . 名称 :北京晶空信息科技有限责任公司,报价 金额 1,860,543.94元;地址:北京市朝阳区潘家园街道北京汽车大厦1602。. 供应商 对预中标... gs.bidizhaobiao.com 反馈"
"沈阳铁路公安局无人机反制系统采购项目中标公告","北京","公共安全/军警安防","沈阳铁路公安局","224.985 万元","224.985","北京延创科技有限责任公司","2026年4月3日","B-公开转载","https://www.zhiliaobiaoxun.com/article/95098321","沈阳铁路公安局 无人机反制系统 采购项目 中标公告 2026年4月3日 - 无人机 反制系统项目地区:辽宁 沈阳. 中标 (成交)金额:224.9850000(万元)... www.zhiliaobiaoxun.com 反馈"
"无人机反制 设备 中标 结果-采招网 2024年5月13日","吉林","侦测反制装备","公开信息未披露","48.28 万元","48.28","公开信息未披露","2024年5月13日","B-公开转载","https://www.bidcenter.com.cn/newscontent-284812772-4.html","无人机反制 设备 中标 结果-采招网 2024年5月13日 - 2024年05月11日总成交金额:48.28(万元)成交供应商名称:吉林省润宣安防科技有限公司成交供应商地址:吉林省长春市朝....2.1台手持式 无人机 定位设... www.bidcenter.com.cn 反馈"
"临沂市某单位无人机反制系统升级改造公开招标公告","北京","侦测反制服务/租赁","公开信息未披露","21 万元","21","成都空御科技有限公司","2026年4月3日","B-公开转载","https://www.zhiliaobiaoxun.com/article/95136641","临沂市某单位 无人机反制 系统升级改造公开招标公告 成交公告 2026年4月3日 - 二、项目 名称 :无人机 反制 系统升级改造公开招标 公告 .中标( 成交 )金额:21.0000000(万元).本项目代理费收费标准:参照国家计委《招标代理服务收费管理暂行... www.zhiliaobiaoxun.com 反馈"
"某部无人机反制装备采购项目","北京","公共安全/军警安防","|框架招标项目_网易订阅","46.3286 万元","46.3286","中国联合网络通信有限公司西双版纳傣族自治州分公司","2025年1月8日","C-公开线索","https://www.163.com/dy/article/JLD42AML05317V0G.html","某部 无人机反制 装备采购项目,华诺星空 中标 |采购人|框架招标项目_网易订阅 2025年1月8日 - 序号 供应商名称 货物名称 货物品牌 货物型号 货物数量 货物单价(元) 1 中国联合网络通信有限公司西双版纳傣族自治州分公司 反 无人机 指控功能;... www.163.com 反馈"
"无人机反制 设备 中标公告","广东省","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2022年1月28日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202201/t20220128_17566490.htm","无人机反制 设备 中标公告 2022年1月28日 - 公告 信息: 采购项目 名称 无人机反制 设备 品目 货物/通用设备/雷达、无线电和卫星导航设备/地面雷达/超视距雷达.采购单位 某部 行政区域 广东省 公... www.ccgp.gov.cn 反馈"
"泰安市公安局 无人机反制 系统采购项目 中标公告","山东","公共安全/军警安防","泰安市公安局机关","公开信息未披露",,"山东三阳项目管理有限公司","2019年9月19日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201909/t20190919_12946251.htm","泰安市公安局 无人机反制 系统采购项目 中标公告 2019年9月19日 - 一、采购人:泰安市公安局机关 地址:泰安市泰山区东岳大街2号 联系方式:05388275091 采购代理机构:山东三阳项目管理有限公司泰安分公司 地址:山... www.ccgp.gov.cn 反馈"
"北京市某部 无人机反制 设备项目(三次) 成交公告","北京市","公共安全/军警安防","公开信息未披露","公开信息未披露",,"公开信息未披露","2020年12月28日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202012/t20201228_15712559.htm","北京市某部 无人机反制 设备项目(三次) 成交公告 2020年12月28日 - 无人机反制 设备项目(三次) 成交 结果公示.行政区域 北京市 公告 时间 2020年12月28日 16:24 ... www.ccgp.gov.cn 反馈"
"福田公安分局 无人机反制 装备和防护装备采购项目 中标公告","福田区","公共安全/军警安防","深圳市公安局福田分局","公开信息未披露",,"公开信息未披露","2024年8月30日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202408/t20240830_23040118.htm","福田公安分局 无人机反制 装备和防护装备采购项目 中标公告 2024年8月30日 - 公告 信息: 采购项目 名称 福田公安分局 无人机反制 装备和防护装备采购项目 品目 防护防暴装备.采购单位 深圳市公安局福田分局 行政区域 福田区 公... www.ccgp.gov.cn 反馈"
"基站式 无人机反制 设备采购项目 中标 结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2023年2月10日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202302/t20230210_19438686.htm","基站式 无人机反制 设备采购项目 中标 结果 公告 2023年2月10日 - 二、项目 名称 :基站式 无人机反制 设备.2023年02月10日 16:14 来源:中国政府采购网 【打印】 【显示 公告 概要】... www.ccgp.gov.cn 反馈"
"警用 无人机 侦测 反制 设备采购的 中标公告","上海","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"公开信息未披露","2020年5月18日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202005/t20200518_14307789.htm","警用 无人机 侦测 反制 设备采购的 中标公告 2020年5月18日 - 包为“警用 无人机 侦测 反制 设备采购”的 中标供应 商 :上海市保安服务(集团)有限公司,中标供应商地址:上海市皋兰路24号, 中标金额 :4550000元.本项... www.ccgp.gov.cn 反馈"
"公安部某局 无人机 侦测 反制系统中标公告 _项目名称 2020年11月3日","公开信息未披露","公共安全/军警安防","公开信息未披露","公开信息未披露",,"公开信息未披露","2020年11月3日","B-公开转载","https://www.sohu.com/a/429259296_785473","公安部某局 无人机 侦测 反制系统中标公告 _项目名称 2020年11月3日 - 二、项目名称:公安部某局 无人机 侦测 反制系统 . 中标 (成交)金额:160.0000000(万元)... www.sohu.com 反馈"
"某部 无人机反制系统 采购项目( 中标公告","黑龙江省","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2024年12月5日","B-公开转载","http://hlj.bidizhaobiao.com/info-565506186.html","某部 无人机反制系统 采购项目( 中标公告 )-黑龙江招标网 2024年12月5日 - 项目所在地:黑龙江省 项目类别:物资 采购方式:竞争性谈判 某部 无人机反制系统 采购项目 采购结果 公告 一、 项目名称:某部 无人机反制系统 采购项目 二、... hlj.bidizhaobiao.com 反馈"
"采购无人机反制设备结果公告","北京","公共安全/军警安防","抚顺市公安局","公开信息未披露",,"安徽金龙泰安安全设备有限公司","2025年8月27日","B-公开转载","https://www.bid110.com/view/105/5sd16pgBVX3Ep-cz3XON.html","采购 无人机反制设备 结果 公告 _招标详情 2025年8月27日 - 项目名称 采购 无人机 反制设备 省份/直辖市 辽宁 地区 .公安招标 无人机 招标中标信息.自本 公告 发布之日起 1 个工作日。... www.bid110.com 反馈"
"无人机反制系统采购项目","北京","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年03月06日","B-公开转载","https://www.qianlima.com/bid-489164406.html","无人机反制系统 采购项目 中标 (成交)结果公示-千里马招标网 2025年3月6日 - 我部对 无人机 反制系统采购项目采购项目进行了公开招标采购,现就供应商评审排名及预 中标 (成交)结果公示如下:. 无人机 反制系统采购项目招标 公告 2024-12-2... www.qianlima.com 反馈"
"... 无人机反制系统 及 无人机 机场式巡逻系统采购项目 中标 (成交)结果 公告 _... 2025年10月30日","公开信息未披露","机场净空/重点空域","无人机反制系统 及 无人机 机场式巡逻系统采购项目 中标 (成交)结果 公告 _... 2025年10月30日 ... 无人机反制系统 及 无人机 机场式巡逻系统采购项目 中标 (成交)结果 公告 _... 2025年10月30日 - 项目导出兵团第二单位 无人机 反制系统及 无人机 机场","公开信息未披露",,"公开信息未披露","2025年10月30日","B-公开转载","https://www.chinabiddingzb.com/read-670286095.html","... 无人机反制系统 及 无人机 机场式巡逻系统采购项目 中标 (成交)结果 公告 _... 2025年10月30日 - 项目导出兵团第二单位 无人机 反制系统及 无人机 机场式巡逻 系统 采购项目中标(成交)结果 公告 .一、项目编号:ZFCGJYZB2025-007二、项目名称:兵团第二单位 无 ... www.chinabiddingzb.com 反馈"
"昆明市 无人机反制设备 采购项目 中标 结果 公告","云南","侦测反制装备","(略)","公开信息未披露",,"公开信息未披露","2025年10月16日","B-公开转载","https://yn.bidcenter.com.cn/zbcontent-384156006-4.html","昆明市 无人机反制设备 采购项目 中标 结果 公告 -云南招标网 2025年10月16日 - 公告 信息: 采购项目名称 (略) (略) (略) 无人机反制设备 采购项目 品目 采购单位 (略) (略) (略) (略) 域 (略) 公告 时间 2025年10月16日 17:46 评审专... yn.bidcenter.com.cn 反馈"
"某单位 无人机反制系统 采购( 中标公告","青海","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://qh.bidizhaobiao.com/info-725700531.html","某单位 无人机反制系统 采购( 中标公告 )-青海招标网 2025年12月1日 - 2、帮助您了解代理机构的项目分布情况(包括采购 系统 和地区),分析目标企业的市场占比,寻找更多市场机会;.供应商分析报告的作用:1、帮助您分析同行或者... qh.bidizhaobiao.com 反馈"
"保德县 无人机反制设备 采购 中标公告","山西","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月18日","B-公开转载","https://sxs.bidcenter.com.cn/zbcontent-395864964-4.html","保德县 无人机反制设备 采购 中标公告 -山西招标网 2025年12月18日 - 二、项目名称:保 (略) 无人机 反制设备采购.保德***安局[登陆后查看] 中标 单位 .序号 标项名称 标的名称 品牌 规格型号 数量 单价 1 保 (略) 无人机 反制... sxs.bidcenter.com.cn 反馈"
"无人机反制 设备第二批采购项目 中标 成交结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年9月17日","B-公开转载","https://www.bidcenter.com.cn/newscontent-379582703-4.html","无人机反制 设备第二批采购项目 中标 成交结果 公告 -采招网 2025年9月17日 - 序号 标项名称 标的名称 品牌 规格型号 数量 单价(元) 1 无人机反制 设备(第二批)采购项目 手持 无人机 侦测设备 锐盾 RD-H2L 4 *.序号 供应商名称 ... www.bidcenter.com.cn 反馈"
"某部 无人机反制 装备采购项目 中标 结果 公告","云南","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2025年1月8日","B-公开转载","https://yunnan.zhaobiao.cn/succeed_v_e85df1dc2975a82dcd9447fc758603e8.html","某部 无人机反制 装备采购项目 中标 结果 公告 2025年1月8日 - 请 中标 单位及时与业主相关负责人联系,及时签署相关商务合同;未 中标 供应商也可及时向业主提出相关质疑.受业主*委托,招标网于2025年01月08日发布 中标公 ... yunnan.zhaobiao.cn 反馈"
"连云港市公安局车载式无人机反制系统购买中标公告","北京","公共安全/军警安防","连云港市公安局","公开信息未披露",,"社会信用代码","2026年4月3日","B-公开转载","https://www.zhiliaobiaoxun.com/article/95096299","连云港市公安局车载式 无人机反制系统 购买 中标公告 2026年4月3日 - 项目名称: 连云港市公安局车载式 无人机反制系统 购买 中标公告 招标公司: 连云港市公安局 中标公司: 江苏丰东信息科技有限公司 采购标的物: 车载式 无人 ... www.zhiliaobiaoxun.com 反馈"
"无人机反制 、定位设备采购项目采购结果公示-福建招标网 2025年4月3日","福建","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年4月3日","B-公开转载","https://fj.bidcenter.com.cn/zbcontent-347248109-4.html","无人机反制 、定位设备采购项目采购结果公示-福建招标网 2025年4月3日 - 定位设备采购项目采购结果公示;项目简介:我部对 无人机反制 、定位设备采购项目采购项目进行了询价采购,现就 供应商 评审排名及预中标( 成交 )结果... fj.bidcenter.com.cn 反馈"
"2019年 无人机反制 设备中标结果-采招网 2019年10月12日","浙江","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"杭州中汇通航航空科技有限公司","2019年10月12日","B-公开转载","https://www.bidcenter.com.cn/newscontent-79522061-4.html","2019年 无人机反制 设备中标结果-采招网 2019年10月12日 - 中标 供应商 包号 地址 采购货物(服务)明细 名称 数量 采购预算(元) 中标 金额 失信惩戒情况 第一中标候选人 杭州中汇通航航空科技有限公司 1 浙江... www.bidcenter.com.cn 反馈"
"无人机反制 设备采购项目中标结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2024年12月6日","B-公开转载","https://m.bidcenter.com.cn/news-4-327448124.html","无人机反制 设备采购项目中标结果 公告 -采招网 2024年12月6日 - 二、项目 名称 : (略) (略) 无人机 反制设备采购项目.十、凡对本次 公告 内容提出询问,请按以下方式联系... m.bidcenter.com.cn 反馈"
"太原市晋阳公寓 无人机反制系统 二次合同 公告","山西","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年9月19日","B-公开转载","https://sxs.bidcenter.com.cn/zbcontent-380003709-4.html","太原市晋阳公寓 无人机反制系统 二次合同 公告 -山西招标网 2025年9月19日 - 晋阳公寓 无人机 合同.pdf晋阳公寓 无人机 反制系统(二次)合同(11N*2).pdf查看更多 中标 单位:.二、合同名称:晋阳公寓 无人机 反制系统(二次)合同... sxs.bidcenter.com.cn 反馈"
"无人机反制 设备竞价 成交公告","新疆","侦测反制装备","--","公开信息未披露",,"公开信息未披露","2024年9月11日","B-公开转载","https://rl.zhaobiao.cn/succeed_v_630b3f8e3205b4b7bf2a1f67c810efa3.html","无人机反制 设备竞价 成交公告 _招标日历_招标网 2024年9月11日 - 招标编号 62024081023009114 所属地区 新疆维吾尔自治区阿克苏地区发布日期 2024-09-11 截止日期 -- 采购业主 -- 招标公司 -- 联系人 -- 联系方式 -- ... rl.zhaobiao.cn 反馈"
"无人机反制 设备采购( 中标公告 )-辽宁招标网 2025年12月1日","辽宁","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://ln.bidizhaobiao.com/info-759674880.html","无人机反制 设备采购( 中标公告 )-辽宁招标网 2025年12月1日 - 供应商分析报告的作用:1、帮助您分析同行或者自身的 中标 金额趋势、项目规模和 报价 下浮率,为企业投标、 报价 提供参考,让投标决策更合理;.业主版分析报告... ln.bidizhaobiao.com 反馈"
