"Project","Location","Type","Buyer","Amount","AmountWan","Contractor","AwardTime","Confidence","Source"
"无人机反制 设备 中标 结果-采招网 2024年5月13日","吉林","侦测反制装备","公开信息未披露","48.28 万元","48.28","公开信息未披露","2024年5月13日","B-公开转载","https://www.bidcenter.com.cn/newscontent-284812772-4.html"
"临沂市某单位无人机反制系统升级改造公开招标公告","北京","侦测反制服务/租赁","公开信息未披露","21 万元","21","成都空御科技有限公司","2026年4月3日","B-公开转载","https://www.zhiliaobiaoxun.com/article/95136641"
"某部无人机反制装备采购项目","北京","公共安全/军警安防","|框架招标项目_网易订阅","46.3286 万元","46.3286","中国联合网络通信有限公司西双版纳傣族自治州分公司","2025年1月8日","C-公开线索","https://www.163.com/dy/article/JLD42AML05317V0G.html"
"无人机反制 设备 中标公告","广东省","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2022年1月28日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202201/t20220128_17566490.htm"
"泰安市公安局 无人机反制 系统采购项目 中标公告","山东","公共安全/军警安防","泰安市公安局机关","公开信息未披露",,"山东三阳项目管理有限公司","2019年9月19日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201909/t20190919_12946251.htm"
"北京市某部 无人机反制 设备项目(三次) 成交公告","北京市","公共安全/军警安防","公开信息未披露","公开信息未披露",,"公开信息未披露","2020年12月28日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202012/t20201228_15712559.htm"
"福田公安分局 无人机反制 装备和防护装备采购项目 中标公告","福田区","公共安全/军警安防","深圳市公安局福田分局","公开信息未披露",,"公开信息未披露","2024年8月30日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202408/t20240830_23040118.htm"
"基站式 无人机反制 设备采购项目 中标 结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2023年2月10日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202302/t20230210_19438686.htm"
"警用 无人机 侦测 反制 设备采购的 中标公告","上海","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"公开信息未披露","2020年5月18日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202005/t20200518_14307789.htm"
"公安部某局 无人机 侦测 反制系统中标公告 _项目名称 2020年11月3日","公开信息未披露","公共安全/军警安防","公开信息未披露","公开信息未披露",,"公开信息未披露","2020年11月3日","B-公开转载","https://www.sohu.com/a/429259296_785473"
"某部 无人机反制系统 采购项目( 中标公告","黑龙江省","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2024年12月5日","B-公开转载","http://hlj.bidizhaobiao.com/info-565506186.html"
"采购无人机反制设备结果公告","北京","公共安全/军警安防","抚顺市公安局","公开信息未披露",,"安徽金龙泰安安全设备有限公司","2025年8月27日","B-公开转载","https://www.bid110.com/view/105/5sd16pgBVX3Ep-cz3XON.html"
"无人机反制系统采购项目","北京","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年03月06日","B-公开转载","https://www.qianlima.com/bid-489164406.html"
"... 无人机反制系统 及 无人机 机场式巡逻系统采购项目 中标 (成交)结果 公告 _... 2025年10月30日","公开信息未披露","机场净空/重点空域","无人机反制系统 及 无人机 机场式巡逻系统采购项目 中标 (成交)结果 公告 _... 2025年10月30日 ... 无人机反制系统 及 无人机 机场式巡逻系统采购项目 中标 (成交)结果 公告 _... 2025年10月30日 - 项目导出兵团第二单位 无人机 反制系统及 无人机 机场","公开信息未披露",,"公开信息未披露","2025年10月30日","B-公开转载","https://www.chinabiddingzb.com/read-670286095.html"
"昆明市 无人机反制设备 采购项目 中标 结果 公告","云南","侦测反制装备","(略)","公开信息未披露",,"公开信息未披露","2025年10月16日","B-公开转载","https://yn.bidcenter.com.cn/zbcontent-384156006-4.html"
"某单位 无人机反制系统 采购( 中标公告","青海","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://qh.bidizhaobiao.com/info-725700531.html"
"保德县 无人机反制设备 采购 中标公告","山西","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月18日","B-公开转载","https://sxs.bidcenter.com.cn/zbcontent-395864964-4.html"
"无人机反制 设备第二批采购项目 中标 成交结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年9月17日","B-公开转载","https://www.bidcenter.com.cn/newscontent-379582703-4.html"
"某部 无人机反制 装备采购项目 中标 结果 公告","云南","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2025年1月8日","B-公开转载","https://yunnan.zhaobiao.cn/succeed_v_e85df1dc2975a82dcd9447fc758603e8.html"
"连云港市公安局车载式无人机反制系统购买中标公告","北京","公共安全/军警安防","连云港市公安局","公开信息未披露",,"社会信用代码","2026年4月3日","B-公开转载","https://www.zhiliaobiaoxun.com/article/95096299"
"无人机反制 、定位设备采购项目采购结果公示-福建招标网 2025年4月3日","福建","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年4月3日","B-公开转载","https://fj.bidcenter.com.cn/zbcontent-347248109-4.html"
"2019年 无人机反制 设备中标结果-采招网 2019年10月12日","浙江","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"杭州中汇通航航空科技有限公司","2019年10月12日","B-公开转载","https://www.bidcenter.com.cn/newscontent-79522061-4.html"
"无人机反制 设备采购项目中标结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2024年12月6日","B-公开转载","https://m.bidcenter.com.cn/news-4-327448124.html"
"太原市晋阳公寓 无人机反制系统 二次合同 公告","山西","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年9月19日","B-公开转载","https://sxs.bidcenter.com.cn/zbcontent-380003709-4.html"
"无人机反制 设备竞价 成交公告","新疆","侦测反制装备","--","公开信息未披露",,"公开信息未披露","2024年9月11日","B-公开转载","https://rl.zhaobiao.cn/succeed_v_630b3f8e3205b4b7bf2a1f67c810efa3.html"
"无人机反制 设备采购( 中标公告 )-辽宁招标网 2025年12月1日","辽宁","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://ln.bidizhaobiao.com/info-759674880.html"
"无人机反制系统 采购( 中标公告","北京","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://bj.bidizhaobiao.com/info-715431177.html"
"无人机反制系统 设备采购项目采购结果公示(2026-JLJFEC-W1001)_ 中标 ... 2026年3月25日","公开信息未披露","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年3月25日","B-公开转载","https://rl.zhaobiao.cn/succeed_v_7ecc2fca91799410860f6baa0ac780d5.html"
"无人机反制 设备采购项目 中标 (成交)结果 公告","公开信息未披露","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月19日","B-公开转载","https://wap.qianlima.com/zb/detail/20251219_564337131.html"
"某单位采购无人机反制设备项目","北京","公共安全/军警安防","或采购代理机构提出","公开信息未披露",,"公开信息未披露","2024-08-30","B-公开转载","https://www.zhiliaobiaoxun.com/detail/448113967b2E1A03245c.html"
"柯桥区 无人机反制设备 采购 中标 成交结果 公告","浙江","重大活动保障","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年11月21日","B-公开转载","https://zj.bidcenter.com.cn/zbcontent-390623194-4.html"
"某部采购 无人机反制设备 ( 中标公告","内蒙古","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://nmg.bidizhaobiao.com/info-715218996.html"
"无人机 及 无人机反制设备 采购项目 中标公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年1月27日","B-公开转载","https://www.bidcenter.com.cn/news-403044302-4.html"
"2024年无人机侦测反制设备采购项目中标公告","北京","公共安全/军警安防","公开信息未披露","公开信息未披露",,"社会信用代码","2024-07-29","B-公开转载","https://www.zhiliaobiaoxun.com/detail/444740462b2E5CE70DEa.html"
"无人机反制设备 采购结果公告(2025-JKFDLB-W3023)(第1包)_陕西中标-... 2025年12月17日","天津","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月17日","B-公开转载","https://www.zhiliaobiaoxun.com/detail/495198984b24e40eaabd.html"
"无人机反制设备 采购 中标 结果 公告","公开信息未披露","侦测反制服务/租赁","无人机反制设备 采购 中标 结果 公告 无人机反制设备 采购 中标 结果 公告 2026年5月7日 - [ 中标 结果]贵阳市公安局","公开信息未披露",,"公开信息未披露","2026年5月7日","B-公开转载","https://www.okcis.cn/20260507-n3-20260507234734360225.html"
"盐城市公安局 无人机 及 反制设备 采购 成交 结果公告中标公告- 千里马招标网 2019年4月12日","江苏","公共安全/军警安防","盐城市公安局 无人机 及 反制设备 采购 成交 结果公告中标公告- 千里马招标网 2019年4月12日 盐城市公安局 无人机 及 反制设备 采购 成交 结果公告中标公告- 千里马招标网 2019年4月12日 - 项目简介:时间:2019/4/12盐城市公安局","公开信息未披露",,"江苏大能智能科技有限公司","2019年4月12日","B-公开转载","http://www.qianlima.com/zb/detail/20190412_124822681.html"
"购买 无人机反制设备 ( 中标公告","陕西省","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://shaanxi.bidizhaobiao.com/info-717597249.html"
"无人机反制设备 采购 中标公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年6月10日","B-公开转载","https://www.bidcenter.com.cn/newscontent-360279871-4.html"
"某部无人机反制装备采购项目中标结果公告","北京","公共安全/军警安防","某部","公开信息未披露",,"中国联合网络通信有限公司西双版纳傣族自治州分公司","2024年12月18日","B-公开转载","https://www.jianyu360.cn/article/bdprivate/BGFMiE8dnNJYQgxNF47NCMKH3FlXU8OWRYgPBk3CgJVQ3R1JwpcCG0%3D.html"
"•某部 无人机反制 装备采购项目 中标 结果 公告","公开信息未披露","公共安全/军警安防","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年1月8日","B-公开转载","https://www.zhaobiaoziyuan.com/detail/677e4b19044491747fb1370a.html"
"无人机反制 系统采购项目 中标 (成交)结果公示 2026年3月24日","公开信息未披露","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年3月24日","B-公开转载","https://www.okcis.cn/20260324-n3-20260324160318206335.html"
"某部 无人机反制 装备采购项目 中标公告","公开信息未披露","公共安全/军警安防","某部","公开信息未披露",,"公开信息未披露","2025年1月8日","B-公开转载","https://m.zhaobiao.cn/zb/succeed_v_01edfc6375743b888c1d8c49187c29bc.html"
"2024年 无人机 侦测 反制 设备采购项目 中标公告","公开信息未披露","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"公开信息未披露","2024年7月29日","B-公开转载","https://www.bidcenter.com.cn/news-300266484-4.html"
"无人机反制 设备采购项目的 中标 (成交)结果 公告","公开信息未披露","重大活动保障","公开信息未披露","公开信息未披露",,"公开信息未披露","2021年7月16日","B-公开转载","https://www.bidcenter.com.cn/newscontent-136359456-4.html"
"中国电信 中标 结果: 太湖之鹰 无人机 及 反制 设备采购项目 中标公告 _股票... 2024年11月26日","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"社会信用代码","2024年11月26日","B-公开转载","https://stock.stockstar.com/RB2024112600036112.shtml"
"无人机反制 服务项目的 中标 (成交)结果 公告","上海","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"中标","2022年1月17日","B-公开转载","https://www.bidcenter.com.cn/news-163940117-4.html"
"陡河水库 无人机反制系统 双盲评审公开招标 中标公告","公开信息未披露","侦测反制系统/平台","唐山市陡河水库事务中心","公开信息未披露",,"公开信息未披露","2025年6月19日","B-公开转载","https://www.bidcenter.com.cn/news-362127167-4.html"
"钦州市某单位采购 无人机反制设备 ( 中标公告","广西","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"广西正阳科技发展有限公司","2025年12月1日","B-公开转载","https://gx.bidizhaobiao.com/info-736635266.html"
"黔东南州公安局采购无人机及无人机反制设备中标（成交）公告","北京","公共安全/军警安防","贵州省黔东南苗族侗族自治州公安局","公开信息未披露",,"中标","2025年11月7日","B-公开转载","https://www.bid110.com/view/461/WMJSXJoBg7S5K-631FlI.html"
"特种指挥车辆及 无人机反制设备中标 成交结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年1月6日","B-公开转载","https://www.bidcenter.com.cn/news-399071504-4.html"
"无人机反制枪采购项目","**省","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年07月29日","B-公开转载","https://www.qianlima.com/bid-526557419.html"
"某部 无人机 及 反制 设备采购项目 中标 结果公示-黑龙江招标网 2025年7月31日","黑龙江","公共安全/军警安防","*.受业主委托","公开信息未披露",,"公开信息未披露","2025年7月31日","B-公开转载","https://hlj.bidcenter.com.cn/zbcontent-370836117-4.html"
"墨玉县某单位 无人机 及 反制 设备二次 中标 结果-采招网 2025年12月17日","新疆","公共安全/军警安防","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月17日","B-公开转载","https://www.bidcenter.com.cn/news-396480806-4.html"
"无人机反制 设备租赁服务( 中标公告","山东","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年1月3日","B-公开转载","https://sd.bidizhaobiao.com/info-579941578.html"
"连云港市公安局车载式 无人机反制 系统购买 中标公告","公开信息未披露","公共安全/军警安防","连云港市公安局","公开信息未披露",,"公开信息未披露","2024年7月24日","B-公开转载","https://rl.zhaobiao.cn/succeed_v_d9ae765e6dcddd84ca292b40981d71ec.html"
"克州GAJ(特警支队) 无人机反制 侦测相关设备采购项目( 中标公告","新疆","公共安全/军警安防","克州GAJ(特警支队) 无人机反制 侦测相关设备采购项目( 中标公告 克州GAJ(特警支队) 无人机反制 侦测相关设备采购项目( 中标公告 )-新疆招标网 2025年12月1日 - 二、合同 名称 :克州GAJ(特警支队) 无人机 反制侦测相关设备采购项目合同. 供应商 (乙方):新疆尚维飞创电子科技有限公司.四、项目 名称 :克州GAJ(特警支队","公开信息未披露",,"新疆尚维飞创电子科技有限公司","2025年12月1日","B-公开转载","https://xj.bidizhaobiao.com/info-599920271.html"
"介休市公安局 无人机 及 无人机反制 设备采购( 中标公告","山西","公共安全/军警安防","介休市公安局","公开信息未披露",,"公开信息未披露","2025年7月16日","B-公开转载","https://shanxi.bidizhaobiao.com/info-651819174.html"
"河北省冀中监狱 无人机 侦测 反制 设备采购项目 中标公告","河北","公共安全/军警安防","河北省冀中监狱 无人机 侦测 反制 设备采购项目 中标公告 河北省冀中监狱 无人机 侦测 反制 设备采购项目 中标公告 2019年12月31日 - 受河北省冀中监狱的委托,就 河北省冀中监狱","公开信息未披露",,"公开信息未披露","2019年12月31日","B-公开转载","https://www.okcis.cn/20191231-n3-20191231191131566667-45e8bad49b3ff41ebb27b28ec92eff6e.html"
"乌什县公安局购买 无人机反制 装备采购项目(二次) 中标 (成交)结果 公告","新疆","公共安全/军警安防","乌什县公安局购买 无人机反制 装备采购项目(二次) 中标 (成交)结果 公告 乌什县公安局","公开信息未披露",,"公开信息未披露","2024年9月27日","B-公开转载","https://xinjiang.zhaobiao.cn/succeed_v_100563878.html"
"大兴安岭边境管理支队 无人机反制 设备采购项目( 中标公告","黑龙江","公共安全/军警安防","大兴安岭边境管理支队","公开信息未披露",,"公开信息未披露","2024年9月19日","B-公开转载","https://hlj.bidizhaobiao.com/info-532368962.html"
"关于无人机侦测反制设备采购项目","北京","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月14日","B-公开转载","https://www.zhiliaobiaoxun.com/detail/494886464b2e65eaeaed.html"
"无人机反制设备采购竞价成交公告","北京","公共安全/军警安防","新疆维吾尔自治区巴音郭楞某单位","公开信息未披露",,"新疆轩志信息科技有限公司","2025年02月25日","B-公开转载","https://www.jianyu360.cn/article/bdprivate/BVrMiE7ZXMBZQ4oJCc7NCMKH3FlXU8OWRYgKyMjBwJVeXZ1IApcB%2BA%3D.html"
"无人机反制器材竞价成交公告","北京","公共安全/军警安防","某单位","公开信息未披露",,"公开信息未披露","2025年08月14日","B-公开转载","https://www.zhiliaobiaoxun.com/article/73683688"
"无人机反制 设备竞价 成交公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年1月7日","B-公开转载","https://www.okcis.cn/20260107-n3-20260107180632501265.html"
"东营机场 无人机反制 设备采购项目( 中标公告","山东","机场净空/重点空域","东营机场 无人机反制 设备采购项目( 中标公告 东营机场 无人机反制 设备采购项目( 中标公告 )-山东招标网 2024年12月9日 - 标题 名称 东营机场 无人机 反制设备采购项目成交 公告 项目编号 SDYT2024-089# 有效起始日期 2024-12-09 有效截止日期 2024-12-10 一、项目 名称 :东营机场","公开信息未披露",,"公开信息未披露","2024年12月9日","B-公开转载","https://sd.bidizhaobiao.com/info-567616680.html"
"安徽铁塔池州市分公司 无人机反制 服务项目(第二次)( 中标公告","安徽","侦测反制服务/租赁","安徽铁塔池州市分公司","公开信息未披露",,"公开信息未披露","2024年12月3日","B-公开转载","http://ah.bidizhaobiao.com/info-564361601.html"
"海盐县公安局 无人机反制 设备采购项目( 中标公告","浙江","公共安全/军警安防","海盐县公安局","公开信息未披露",,"公开信息未披露","2024年11月20日","B-公开转载","http://zj.bidizhaobiao.com/info-557598739.html"
"无人机反制 车租赁项目 中标 结果公示-采招网 2026年1月5日","公开信息未披露","侦测反制服务/租赁","西安咸阳国际机场股份有限公司","公开信息未披露",,"中国采招网于2026年01月05日发布西安咸阳国际机场股份有限公司","2026年1月5日","B-公开转载","https://www.bidcenter.com.cn/news-398824934-4.html"
"无人机反制 设备项目( 中标公告","北京","侦测反制装备","公开信息未披露","38800.00 (元)",,"北京中宇万通科技股份有限公司","2025年12月1日","B-公开转载","https://shaanxi.bidizhaobiao.com/info-729987342.html"
"某部 无人机反制 系统采购项目( 中标公告","黑龙江","公共安全/军警安防","某部","公开信息未披露",,"福建灵信信息科技有限公司","2024年12月5日","B-公开转载","https://hlj.bidizhaobiao.com/info-565506186.html"
"无人机反制 设备采购 中标公告","山东","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年6月18日","B-公开转载","https://www.ixbang.com/bid/detail/71B296DEC8E3C114AF9705DA0CA65FAB.html"
"无人机反制 设备采购( 中标公告","陕西","侦测反制装备","公开信息未披露","236000.00 (元)",,"云上筋斗(南京)科技有限公司","2025年12月1日","B-公开转载","https://shaanxi.bidizhaobiao.com/info-745858052.html"
"低空安全防控无人机反制服务租赁项目中标/成交公告","北京","侦测反制服务/租赁","公开信息未披露","公开信息未披露",,"******","2022年08月22日","B-公开转载","https://www.chinamae.com/purchases/6bdbd3d5e462adc0d5d6ffe25a969f59"
"无人机反制 设备采购项目( 中标公告","安徽","侦测反制装备","公开信息未披露","公开信息未披露",,"安徽中云智能科技有限公司","2025年12月1日","B-公开转载","https://hunan.bidizhaobiao.com/info-750910893.html"
"无人机反制 设备采购项目 中标 成交结果 公告","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年1月4日","B-公开转载","https://www.bidcenter.com.cn/news-398309565-4.html"
"济南市公安局特巡警支队 无人机反制 设备项目 中标公告","公开信息未披露","公共安全/军警安防","济南市公安局特巡警支队 无人机反制 设备项目 中标公告 济南市公安局","公开信息未披露",,"公开信息未披露","2024年7月18日","B-公开转载","https://www.bidcenter.com.cn/news-298684773-4.html"
"无人机反制设备中标公告","北京","侦测反制装备","确认，本项目中标公示期满无异议的，****将被确认为中标人","公开信息未披露",,"公开信息未披露","2025年01月17日","B-公开转载","https://www.qianlima.com/bid-481110012.html"
"无人机反制 装备 中标 结果-采招网 2023年12月22日","公开信息未披露","公共安全/军警安防","无人机反制 装备 中标 结果-采招网 2023年12月22日 无人机反制 装备 中标 结果-采招网 2023年12月22日 - 关注山亭公安分局","公开信息未披露",,"公开信息未披露","2023年12月22日","B-公开转载","https://m.bidcenter.com.cn/newsrili-4-265755663.html"
"无人机反制 系统( 中标公告","浙江","侦测反制系统/平台","...","公开信息未披露",,"公开信息未披露","2025年3月10日","B-公开转载","https://zj.bidizhaobiao.com/info-599355455.html"
"车载 无人机反制 系统改装 中标公告","公开信息未披露","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月3日","B-公开转载","https://www.bidcenter.com.cn/news-393042941-4.html"
"无人机反制 器项目( 中标公告","河北","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2025年12月1日","B-公开转载","https://hb.bidizhaobiao.com/info-718246332.html"
"东部电厂固定式 无人机反制 防御系统设备采购( 中标公告","广东","侦测反制系统/平台","公开信息未披露","公开信息未披露",,"深圳能源集团股份有限公司","2025年12月1日","B-公开转载","https://gd.bidizhaobiao.com/info-723547342.html"
"采购 无人机反制 设备竞价 成交公告","公开信息未披露","侦测反制装备","...","公开信息未披露",,"公开信息未披露","2025年6月8日","B-公开转载","https://rl.zhaobiao.cn/succeed_v_dfb78bc391885e3ad7dad921b06ddd6a.html"
"无人机反制 设备(中标 公告","江苏","侦测反制装备","公开信息未披露","公开信息未披露",,"江苏中瀚工程项目管理咨询有限公司","2025年12月1日","B-公开转载","https://js.bidizhaobiao.com/info-527019076.html"
"无人机反制 设备采购项目中标结果 公告","山东","公共安全/军警安防","无人机反制 设备采购项目中标结果 公告 -中标 公告 -采招网 2024年12月6日 无人机反制 设备采购项目中标结果 公告 -中标 公告 -采招网 2024年12月6日 - 二、项目 名称 : (略) (略) 无人机 反制设备采购项目.项目 名称 :禹城市公安局","公开信息未披露",,"山东品美信息科技有限公司","2024年12月6日","B-公开转载","https://www.bidcenter.com.cn/news-329016404-4.html"
"温州德臻招标代理有限公司关于温州市公安局无人机反制设备的中标(成交)结果公告","北京","公共安全/军警安防","温州市公安局","公开信息未披露",,"公开信息未披露","2022-08-18","B-公开转载","https://www.chinamae.com/purchases/e7900fbfeb7d187f9a7eedd91c7a77f3"
"呼和浩特市某单位 无人机反制 设备采购项目 成交公告","公开信息未披露","公共安全/军警安防","公开信息未披露","公开信息未披露",,"中科星图慧安科技有限公司","2025年12月15日","B-公开转载","https://www.chinabidding.cn/zbgs/U-vzeIGYx.html"
"固定式 无人机反制 设备采购竞价 成交公告 竞价公告-采购与招标网(www.... 2026年4月2日","公开信息未披露","侦测反制装备","公开信息未披露","公开信息未披露",,"公开信息未披露","2026年4月2日","B-公开转载","https://www.chinabidding.cn/zbgs/U-vzrodMB.html"
"玛纳斯县GAJ警用无人机反制设备竞价成交公告","北京","公共安全/军警安防","信息","公开信息未披露",,"公开信息未披露","2026年04月10日","B-公开转载","https://www.qianlima.com/bid-588543827.html"
