"项目ID","省份","省内城市区域","项目名称","发包采购单位","承建中标单位","中标公告时间","年份","设备序号","设备名称","设备类型","数量","单位","品牌","规格型号","明细依据","明细置信度","来源链接"
"LA-2025-0010","甘肃","未识别","无人机反制 系统采购项目( 中标公告","公开信息未披露","公开信息未披露","2025年12月1日","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://gs.bidizhaobiao.com/info-752059557.html"
"LA-2024-0011","广东","深圳","福田公安分局 无人机反制 装备和防护装备采购项目 中标公告","深圳市公安局福田分局","公开信息未披露","2024年8月30日","2024","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202408/t20240830_23040118.htm"
"LA-2024-0012","广东","未识别","某单位采购无人机反制设备项目","公开信息未披露","公开信息未披露","2024-08-30","2024","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zhiliaobiaoxun.com/detail/448113967b2E1A03245c.html"
"LA-2024-0013","广东","珠海横琴","横琴粤澳深度合作区公安局重大活动安保无人机防控服务政府采购项目","横琴粤澳深度合作区公安局","中国移动通信集团广东有限公司珠海分公司","2024-12-18","2024","1","重大活动安保无人机防控服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","政府采购结果公告披露服务项目；具体设备数量未披露","中","https://hengqin.gd.gov.cn/gkmlpt/content/4/4617/post_4617550.html"
"LA-2025-0014","广东","广州","南方电网公司2025年第三批无人机设备及相关附件框架采购项目（固定式无人机主动防御系统、便携式无人机反制装置）","中国南方电网有限责任公司/南方电网供应链集团有限公司","南方电网电力科技股份有限公司","2025-12-09","2025","1","固定式无人机主动防御系统","固定式反制/防御设备","公开信息未披露","框架采购","公开信息未披露","公开信息未披露","南方电网供应链平台标的名称披露","中","https://www.bidding.csg.cn/zbhxrgs/1200396902.jhtml"
"LA-2025-0014","广东","广州","南方电网公司2025年第三批无人机设备及相关附件框架采购项目（固定式无人机主动防御系统、便携式无人机反制装置）","中国南方电网有限责任公司/南方电网供应链集团有限公司","南方电网电力科技股份有限公司","2025-12-09","2025","2","便携式无人机反制装置","便携/手持反制设备","公开信息未披露","框架采购","公开信息未披露","公开信息未披露","南方电网供应链平台标的名称披露","中","https://www.bidding.csg.cn/zbhxrgs/1200396902.jhtml"
"LA-2025-0015","广东","惠州","惠州市公安局大亚湾经济技术开发区分局大亚湾石化区天海地一体化综合防控系统建设项目（第二次）","惠州市公安局大亚湾经济技术开发区分局","公开信息未披露","2025-12-15","2025","1","低空防御雷达显控软件","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","证据摘要披露标的内容","中","https://www.bbda.com/bidList/k1295"
"LA-2025-0015","广东","惠州","惠州市公安局大亚湾经济技术开发区分局大亚湾石化区天海地一体化综合防控系统建设项目（第二次）","惠州市公安局大亚湾经济技术开发区分局","公开信息未披露","2025-12-15","2025","2","无人机防御察打一体机","察打一体侦测反制设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","证据摘要披露标的内容","中","https://www.bbda.com/bidList/k1295"
"LA-2025-0016","广东","江门台山","台山核电低空防御系统相关设备采购成交项目","台山核电合营有限公司/中广核相关单位","中广核数字科技有限公司","2025-12-12","2025","1","低空防御系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bbda.com/bidList/k1295"
"LA-2025-0017","广东","深圳","东部电厂固定式 无人机反制 防御系统设备采购( 中标公告","公开信息未披露","深圳能源集团股份有限公司","2025年12月1日","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://gd.bidizhaobiao.com/info-723547342.html"
"LA-2025-0018","广东","深圳","龙华分局购置十五运无人机反制设备采购项目","深圳市公安局龙华分局","江门市亿豪警用装备科技有限公司","2025-08-21","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.szyd11.com/tender/win/detail?TenderId=16753"
"LA-2026-0019","广东","深圳","深圳市公安局罗湖分局2025年下半年分局无人机及侦测反制设备采购项目（重新招标）","深圳市公安局罗湖分局","中科星图股份有限公司","2026-01-19","2026","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.aamshanghai.com/jiangsu-yancheng-low-drone-bidding.html"
"LA-2025-0020","广西","钦州","钦州市某单位采购 无人机反制设备 ( 中标公告","公开信息未披露","广西正阳科技发展有限公司","2025年12月1日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://gx.bidizhaobiao.com/info-736635266.html"
"LA-2025-0021","贵州","贵安","无人机反制设备竞价成交公告","贵安新区公安局","公开信息未披露","2025年08月27日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bid110.com/view/824/y8cc55gBVX3Ep-czWBoe.html"
"LA-2025-0022","贵州","贵阳","贵阳市 无人机反制 设备竞价 成交公告","公开信息未披露","公开信息未披露","2025年8月12日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://gz.bidcenter.com.cn/zbcontent-373871343-4.html"
"LA-2025-0023","贵州","黔东南","黔东南州公安局采购无人机及无人机反制设备中标（成交）公告","贵州省黔东南苗族侗族自治州公安局","公开信息未披露","2025年11月7日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bid110.com/view/461/WMJSXJoBg7S5K-631FlI.html"
"LA-2026-0024","贵州","贵阳","贵阳市公安局无人机反制设备采购项目","贵阳市公安局","公开信息未披露","2026年5月7日","2026","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.okcis.cn/20260507-n3-20260507234734360225.html"
"LA-2026-0025","贵州","未识别","无人机反制 系统采购项目 中标 (成交)结果公示 2026年3月24日","公开信息未披露","公开信息未披露","2026年3月24日","2026","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.okcis.cn/20260324-n3-20260324160318206335.html"
"LA-2025-0026","河北","唐山","陡河水库 无人机反制系统 双盲评审公开招标 中标公告","唐山市陡河水库事务中心","公开信息未披露","2025年6月19日","2025","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bidcenter.com.cn/news-362127167-4.html"
"LA-2026-0027","河北","秦皇岛","秦皇岛市公安局无人机管控前端系统升级项目","秦皇岛市公安局","中国铁塔股份有限公司秦皇岛市分公司、河北梓墨电子科技有限公司","2026-03-30","2026","1","无人机管控前端系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.aamshanghai.com/jiangsu-yancheng-low-drone-bidding.html"
"LA-2024-0028","黑龙江","大兴安岭","大兴安岭边境管理支队 无人机反制 设备采购项目( 中标公告","大兴安岭边境管理支队","公开信息未披露","2024年9月19日","2024","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://hlj.bidizhaobiao.com/info-532368962.html"
"LA-2024-0029","黑龙江","未识别","某部 无人机反制 系统采购项目( 中标公告","某部","福建灵信信息科技有限公司","2024年12月5日","2024","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://hlj.bidizhaobiao.com/info-565506186.html"
"LA-2025-0030","黑龙江","丰林","丰林县公安局 无人机反制 装备比价比价采购 成交公告 2025年11月7日","丰林县公安局","公开信息未披露","2025年11月7日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.jianyu360.cn/nologin/content/ABCY1xrdikFGSg7JGd0dXUJJSQ4QCFjYXx0KTggOSEwXlVwHAFUCXE%3D.html"
"LA-2025-0031","黑龙江","未识别","某部无人机及反制设备采购项目","某部","公开信息未披露","2025年7月31日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://hlj.bidcenter.com.cn/zbcontent-370836117-4.html"
"LA-2026-0032","黑龙江","绥化","绥化市公安局无人机与无人机反制设备采购项目","绥化市公安局","黑龙江省铭腾科技有限公司","2026-01-16","2026","1","无人机反制设备","侦测探测设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://m.sohu.com/a/976721051_122434053"
"LA-2025-0033","湖北","武汉","武汉东湖新技术开发区分局光谷马拉松无人机反制租赁服务项目","武汉东湖新技术开发区分局","武汉优一硕智能应用科技有限公司","2025-10-20","2025","1","无人机反制租赁服务","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bbda.com/bidList/k1295"
"LA-2026-0034","湖南","长沙","长沙市公安局天心分局警保卫大队关于无人机反制服务的竞价竞价成交公告","公开信息未披露","公开信息未披露","2026年01月28日","2026","1","无人机反制服务","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.chinamae.com/purchases/e6acdaa5c2b53548354b67324ab1c7e8.html"
"LA-2024-0035","吉林","未识别","无人机反制 设备 中标 结果-采招网 2024年5月13日","公开信息未披露","公开信息未披露","2024年5月13日","2024","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.bidcenter.com.cn/newscontent-284812772-4.html"
"LA-2024-0036","江苏","常州","常州市公安局2024年无人机侦测反制设备采购项目","常州市公安局","南京金护警用装备有限公司","2024-07-29","2024","1","无人机侦测反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://zfcg.changzhou.gov.cn/html/ns/class_fscg_zbgg/898718001419495.html"
"LA-2024-0037","江苏","泰州","泰州市公安局巡特警支队无人机侦测反制设备采购项目","泰州市公安局（机关）","广州华警安防科技发展有限公司","2024-09-12","2024","1","固定式无人机侦测反制设备","固定式反制/防御设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://czj.taizhou.gov.cn/tzzfcgw/cgxx/sjcgxx/zbcjjggg/cjgg/art/2024/art_b69d7a2834914873a79ded08916bbd97.html"
"LA-2024-0038","江苏","未识别","2024年无人机侦测反制设备采购项目中标公告","公开信息未披露","公开信息未披露","2024-07-29","2024","1","无人机侦测反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zhiliaobiaoxun.com/detail/444740462b2E5CE70DEa.html"
"LA-2024-0039","江苏","未识别","中国电信 中标 结果: 太湖之鹰 无人机 及 反制 设备采购项目 中标公告 _股票... 2024年11月26日","公开信息未披露","公开信息未披露","2024年11月26日","2024","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://stock.stockstar.com/RB2024112600036112.shtml"
"LA-2024-0040","江苏","无锡","无锡市公安局梁溪分局无人机反制系统采购项目","无锡市公安局梁溪分局","无锡蓝天翱翔智能科技有限公司","2024-11-08","2024","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.fdzb119.com/zhaobiao/123745.html"
"LA-2025-0041","江苏","连云港","连云港腾云低空智联低空安防试验示范基地无人机反制装置零部件采购项目","连云港腾云低空智联科技有限公司","连云港润飒科技有限公司","2025-11-05","2025","1","无人机反制装置零部件","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bbda.com/bidList/k1295"
"LA-2025-0042","江苏","未识别","某单位 无人机反制 设备采购项目(中标 公告","某单位","公开信息未披露","2025年12月1日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://js.bidizhaobiao.com/info-747498015.html"
"LA-2025-0043","江苏","未识别","无人机反制 设备(中标 公告","公开信息未披露","江苏中瀚工程项目管理咨询有限公司","2025年12月1日","2025","1","无人机侦测反制/低空管控服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","按项目类型推断服务包；具体设备未披露","低","https://js.bidizhaobiao.com/info-527019076.html"
"LA-2025-0044","江苏","未识别","无人机反制 设备采购( 中标公告","公开信息未披露","云上筋斗(南京)科技有限公司","2025年12月1日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://shaanxi.bidizhaobiao.com/info-745858052.html"
"LA-2026-0045","江苏","连云港","连云港市公安局车载式无人机反制系统购买中标公告","连云港市公安局","公开信息未披露","2026年4月3日","2026","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zhiliaobiaoxun.com/article/95096299"
"LA-2026-0046","江苏","南京","江苏省龙潭监狱无人机反制设备采购项目","江苏省龙潭监狱","南京冠航智能科技有限公司","2026-02-06","2026","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bbda.com/bidList/k1295"
"LA-2025-0047","江西","南昌","南昌市 无人机反制 装备项目采购公告竞价 成交公告","公开信息未披露","公开信息未披露","2025年12月9日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://jx.bidcenter.com.cn/zbcontent-394187096-4.html"
"LA-2026-0048","江西","崇仁","崇仁县公安局无人机反制设备采购项目","崇仁县公安局","公开信息未披露","2026年4月1日","2026","1","无人机反制设备","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.ixbang.com/bid/detail/3C831D33919D937FC2E8DA122B0151D4.html"
"LA-2026-0049","江西","南昌","赣江新区公安局无人机侦测预警设备采购项目","赣江新区公安局","鉴真防务技术（上海）有限公司","2026-01-20","2026","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.bbda.com/bidList/k1295"
"LA-2025-0050","辽宁","抚顺","采购无人机反制设备结果公告","抚顺市公安局","安徽金龙泰安安全设备有限公司","2025年8月27日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bid110.com/view/105/5sd16pgBVX3Ep-cz3XON.html"
"LA-2025-0051","辽宁","未识别","无人机反制 设备采购( 中标公告 )-辽宁招标网 2025年12月1日","公开信息未披露","公开信息未披露","2025年12月1日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://ln.bidizhaobiao.com/info-759674880.html"
"LA-2025-0052","辽宁","未识别","无人机反制设备中标公告","公开信息未披露","公开信息未披露","2025年01月17日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.qianlima.com/bid-481110012.html"
"LA-2026-0053","辽宁","沈阳","沈阳铁路公安局无人机反制系统采购项目中标公告","沈阳铁路公安局","北京延创科技有限责任公司","2026年4月3日","2026","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zhiliaobiaoxun.com/article/95098321"
"LA-2023-0054","内蒙古","鄂尔多斯","鄂尔多斯市公安局采购无人机侦测反制设备项目","鄂尔多斯市公安局","河北疆来科技有限公司","2023-06-30","2023","1","无人机侦测反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.ordosggzyjy.org.cn/TPFront/InfoDetail/?InfoID=48b84f25-1b20-4e52-87f4-e31b90bbd6bb&CategoryNum=005002003"
"LA-2025-0055","内蒙古","呼和浩特","呼和浩特市某单位 无人机反制 设备采购项目 成交公告","公开信息未披露","中科星图慧安科技有限公司","2025年12月15日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://www.chinabidding.cn/zbgs/U-vzeIGYx.html"
"LA-2025-0056","内蒙古","康巴什","康巴什区中轴线无人机反制系统建设项目","鄂尔多斯市公安局康巴什分局","中移系统集成有限公司","2025-08-21","2025","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.zcbx.xyz/index.php?v=show&cid=93&id=654079"
"LA-2025-0057","内蒙古","未识别","某部采购 无人机反制设备 ( 中标公告","某部","公开信息未披露","2025年12月1日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://nmg.bidizhaobiao.com/info-715218996.html"
"LA-2026-0058","内蒙古","未识别","特种指挥车辆及 无人机反制设备中标 成交结果 公告","公开信息未披露","公开信息未披露","2026年1月6日","2026","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bidcenter.com.cn/news-399071504-4.html"
"LA-2025-0059","宁夏","石嘴山","石嘴山市公安局无人机教培、警务应用及反制项目","石嘴山市公安局","宁夏中宇网安科技有限公司","2025-05-09","2025","1","无人机教培、警务应用及反制项目","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bbda.com/bidList/k1295"
"LA-2025-0060","青海","未识别","某单位 无人机反制系统 采购( 中标公告","某单位","公开信息未披露","2025年12月1日","2025","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://qh.bidizhaobiao.com/info-725700531.html"
"LA-2023-0061","山东","山亭","山亭公安分局无人机反制装备项目","山亭公安分局","公开信息未披露","2023年12月22日","2023","1","无人机反制装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://m.bidcenter.com.cn/newsrili-4-265755663.html"
"LA-2024-0062","山东","东营","东营机场无人机反制设备采购项目","东营机场","公开信息未披露","2024年12月9日","2024","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://sd.bidizhaobiao.com/info-567616680.html"
"LA-2024-0063","山东","济南","济南市公安局特巡警支队 无人机反制 设备项目 中标公告","济南市公安局特巡警支队","公开信息未披露","2024年7月18日","2024","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bidcenter.com.cn/news-298684773-4.html"
"LA-2024-0064","山东","禹城","禹城市公安局无人机反制设备采购项目","禹城市公安局","山东品美信息科技有限公司","2024年12月6日","2024","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://www.bidcenter.com.cn/news-329016404-4.html"
"LA-2025-0065","山东","未识别","无人机反制 设备采购 中标公告","公开信息未披露","公开信息未披露","2025年6月18日","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.ixbang.com/bid/detail/71B296DEC8E3C114AF9705DA0CA65FAB.html"
"LA-2025-0066","山东","未识别","无人机反制 设备租赁服务( 中标公告","公开信息未披露","公开信息未披露","2025年1月3日","2025","1","无人机侦测反制/低空管控服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","按项目类型推断服务包；具体设备未披露","低","https://sd.bidizhaobiao.com/info-579941578.html"
"LA-2025-0067","山西","保德","保德县 无人机反制设备 采购 中标公告","公开信息未披露","公开信息未披露","2025年12月18日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://sxs.bidcenter.com.cn/zbcontent-395864964-4.html"
"LA-2025-0068","山西","介休","介休市公安局 无人机 及 无人机反制 设备采购( 中标公告","介休市公安局","公开信息未披露","2025年7月16日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://shanxi.bidizhaobiao.com/info-651819174.html"
"LA-2025-0069","山西","太原","保德县公安局无人机反制设备采购结果公告","保德县公安局","公开信息未披露","2025年12月17日","2025","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251217_25943334.htm"
"LA-2025-0070","山西","太原","太原市晋阳公寓 无人机反制系统 二次合同 公告","公开信息未披露","公开信息未披露","2025年9月19日","2025","1","无人机反制系统","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","https://sxs.bidcenter.com.cn/zbcontent-380003709-4.html"
