"主需求类别","兼具需求类别","软硬件属性","分类依据","分类置信度","项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2024-0011","广东","深圳","福田公安分局 无人机反制 装备和防护装备采购项目 中标公告","侦测反制装备","中标/成交结果","是","深圳市公安局福田分局","公开信息未披露","","公开信息未披露","2024年8月30日","2024","A-官方公告/公共资源","较完整","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202408/t20240830_23040118.htm","福田公安分局 无人机反制 装备和防护装备采购项目 中标公告 2024年8月30日 - 公告 信息: 采购项目 名称 福田公安分局 无人机反制 装备和防护装备采购项目 品目 防护防暴装备.采购单位 深圳市公安局福田分局 行政区域 福田区 公... www.ccgp.gov.cn 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2024-0012","广东","未识别","某单位采购无人机反制设备项目","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024-08-30","2024","B-公开转载/行业平台","待复核","https://www.zhiliaobiaoxun.com/detail/448113967b2E1A03245c.html","某单位采购 无人机反制设备 项目 中标 候选人公示_广东 中标 -知了标讯 2024年8月30日 - 中标 候选人 无人机反制设备 项目基本信息.四、凡对本次 公告 内容提出询问,请按以下方式联系。... www.zhiliaobiaoxun.com 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"重大活动保障需求","敏感目标防护需求；日常巡防需求","服务/租赁/咨询","含赛事/活动/安保保障/阵地租赁关键词；含公安巡防/常态监管关键词","高","LA-2024-0013","广东","珠海横琴","横琴粤澳深度合作区公安局重大活动安保无人机防控服务政府采购项目","侦测反制服务/租赁","中标/成交结果","是","横琴粤澳深度合作区公安局","157.2875 万元","157.2875","中国移动通信集团广东有限公司珠海分公司","2024-12-18","2024","A-官方公告/公共资源","完整","https://hengqin.gd.gov.cn/gkmlpt/content/4/4617/post_4617550.html","广东政府公开页面披露：重大活动安保无人机防控服务，中标供应商中国移动广东珠海分公司，中标金额1,572,875.00元。","补充检索新增；重大活动保障类","重大活动安保无人机防控服务","服务/租赁","重大活动安保无人机防控服务：1项服务","公开信息未披露","公开信息未披露","部分明细","政府采购结果公告披露服务项目；具体设备数量未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","含敏感目标或重点设施关键词","高","LA-2025-0014","广东","广州","南方电网公司2025年第三批无人机设备及相关附件框架采购项目（固定式无人机主动防御系统、便携式无人机反制装置）","侦测反制装备","中标/成交结果","是","中国南方电网有限责任公司/南方电网供应链集团有限公司","公开信息未披露","","南方电网电力科技股份有限公司","2025-12-09","2025","A-官方公告/公共资源","较完整","https://www.bidding.csg.cn/zbhxrgs/1200396902.jhtml","南方电网供应链平台中标公示披露：标的含固定式无人机主动防御系统A、便携式无人机反制装置B，中标候选人为南方电网电力科技股份有限公司。","补充检索新增；能源敏感目标类","固定式无人机主动防御系统；便携式无人机反制装置","固定式反制/防御设备；便携/手持反制设备","固定式无人机主动防御系统：公开信息未披露；便携式无人机反制装置：公开信息未披露","公开信息未披露","公开信息未披露","部分明细","南方电网供应链平台标的名称披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","日常巡防需求","软硬件综合/系统平台","含敏感目标或重点设施关键词；含公安巡防/常态监管关键词","高","LA-2025-0015","广东","惠州","惠州市公安局大亚湾经济技术开发区分局大亚湾石化区天海地一体化综合防控系统建设项目（第二次）","侦测反制系统/平台","中标/成交结果","是","惠州市公安局大亚湾经济技术开发区分局","公开信息未披露","","公开信息未披露","2025-12-15","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：标的含低空防御雷达显控软件、无人机防御察打一体机等。","补充检索新增；石化区敏感目标类","低空防御雷达显控软件；无人机防御察打一体机","系统平台/管控软件；察打一体侦测反制设备","低空防御雷达显控软件：公开信息未披露；无人机防御察打一体机：公开信息未披露","公开信息未披露","公开信息未披露","部分明细","证据摘要披露标的内容","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","含敏感目标或重点设施关键词","高","LA-2025-0016","广东","江门台山","台山核电低空防御系统相关设备采购成交项目","侦测反制系统/平台","中标/成交结果","是","台山核电合营有限公司/中广核相关单位","公开信息未披露","","中广核数字科技有限公司","2025-12-12","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：低空防御系统设备采购成交，中标单位中广核数字科技有限公司。","补充检索新增；核电敏感目标类","低空防御系统","系统平台/管控软件","低空防御系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","含敏感目标或重点设施关键词","高","LA-2025-0017","广东","深圳","东部电厂固定式 无人机反制 防御系统设备采购( 中标公告","侦测反制系统/平台","合同公告","是","公开信息未披露","公开信息未披露","","深圳能源集团股份有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://gd.bidizhaobiao.com/info-723547342.html","东部电厂固定式 无人机反制 防御系统设备采购( 中标公告 )-广东招标网 2025年12月1日 - 您当天剩余次查看 公告 原文链接,是否消耗一次. 中 标 公 告 深圳能源集团股份有限公司的东部电厂固定式 无人机反制 防御系统设备采购合同寻源工作,于2025-... gd.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"重大活动保障需求","日常巡防需求","硬件设备/装备","含赛事/活动/安保保障/阵地租赁关键词；含公安巡防/常态监管关键词","高","LA-2025-0018","广东","深圳","龙华分局购置十五运无人机反制设备采购项目","侦测反制装备","中标/成交结果","是","深圳市公安局龙华分局","95.5000 万元","95.5","江门市亿豪警用装备科技有限公司","2025-08-21","2025","B-公开转载/行业平台","完整","https://www.szyd11.com/tender/win/detail?TenderId=16753","公开招标代理结果页披露：龙华分局购置十五运无人机反制设备采购项目，中标单位江门市亿豪警用装备科技有限公司。","人工核验补充","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","日常巡防需求","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2026-0019","广东","深圳","深圳市公安局罗湖分局2025年下半年分局无人机及侦测反制设备采购项目（重新招标）","侦测反制装备","中标/成交结果","是","深圳市公安局罗湖分局","331.9600 万元","331.96","中科星图股份有限公司","2026-01-19","2026","B-公开转载/行业平台","完整","https://www.aamshanghai.com/jiangsu-yancheng-low-drone-bidding.html","公开低空招投标资讯披露：罗湖分局无人机及侦测反制设备采购重新招标，中标人为中科星图股份有限公司，金额331.96万元。","人工核验补充；待回溯深圳政府采购原文","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","服务/租赁/咨询","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0020","广西","钦州","钦州市某单位采购 无人机反制设备 ( 中标公告","侦测反制服务/租赁","中标/成交结果","是","公开信息未披露","公开信息未披露","","广西正阳科技发展有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://gx.bidizhaobiao.com/info-736635266.html","钦州市某单位采购 无人机反制设备 ( 中标公告 )-广西招标网 2025年12月1日 - 一、项目名称:钦州市某单位采购 无人机 反制设备.广西正阳科技发展有限公司商务条款响应售后服务中 中标 供应商提供24小时售后服务,自接到故障通知后一小... gx.bidizhaobiao.com 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2024-0108","新疆","未识别","无人机反制 设备竞价 成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年9月11日","2024","B-公开转载/行业平台","待复核","https://rl.zhaobiao.cn/succeed_v_630b3f8e3205b4b7bf2a1f67c810efa3.html","无人机反制 设备竞价 成交公告 _招标日历_招标网 2024年9月11日 - 招标编号 62024081023009114 所属地区 新疆维吾尔自治区阿克苏地区发布日期 2024-09-11 截止日期 -- 采购业主 -- 招标公司 -- 联系人 -- 联系方式 -- ... rl.zhaobiao.cn 反馈","修正：原发包采购单位为“--”，规范为公开信息未披露","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0022","贵州","贵阳","贵阳市 无人机反制 设备竞价 成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年8月12日","2025","B-公开转载/行业平台","待复核","https://gz.bidcenter.com.cn/zbcontent-373871343-4.html","贵阳市 无人机反制 设备竞价 成交公告 -贵州招标网 2025年8月12日 - 项目 名称 :无人机 反制 设备. 成交 供应商 名称 、联系地址及 成交 金额:. 无人机 反制设备 (项目编号:#40 )采购已经结束,现将采购结果公示如下:... gz.bidcenter.com.cn 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2025-0023","贵州","黔东南","黔东南州公安局采购无人机及无人机反制设备中标（成交）公告","侦测反制装备","中标/成交结果","是","贵州省黔东南苗族侗族自治州公安局","公开信息未披露","","公开信息未披露","2025年11月7日","2025","B-公开转载/行业平台","较完整","https://www.bid110.com/view/461/WMJSXJoBg7S5K-631FlI.html","黔东南州公安局采购 无人机 及 无人机反制设备中标 (成交) 公告 _招标详情 2025年11月7日 - 序号 标项名称 规格型号 数量 单位 单价(元) 评审价(元) 总价(元) 中标 供应商名称 中标 供应商地址 中标 供应商统一社会信用代码 1 黔东南州公安局采购 ... www.bid110.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[贵州]","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","服务/租赁/咨询","含公安巡防/常态监管关键词","高","LA-2026-0024","贵州","贵阳","贵阳市公安局无人机反制设备采购项目","侦测反制服务/租赁","合同公告","是","贵阳市公安局","公开信息未披露","","公开信息未披露","2026年5月7日","2026","B-公开转载/行业平台","较完整","https://www.okcis.cn/20260507-n3-20260507234734360225.html","公开转载结果页摘要显示项目为无人机反制设备采购，中标结果发布时间2026年5月7日，采购主体可识别为贵阳市公安局；金额和中标单位未披露。","修正：原发包采购单位字段误入整段转载摘要，按摘要中明确采购主体更正；具体分局待回溯官方原文","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2026-0025","贵州","未识别","无人机反制 系统采购项目 中标 (成交)结果公示 2026年3月24日","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2026年3月24日","2026","B-公开转载/行业平台","待复核","https://www.okcis.cn/20260324-n3-20260324160318206335.html","无人机反制 系统采购项目 中标 (成交)结果公示 2026年3月24日 - 我部对 无人机 反制系统采购项目采购项目进行了公开招标采购,现就供应商评审排名及预 中标 (成交)结果公示如下:.[ 中标 结果]中国共产党安龙县纪律检查委员... www.okcis.cn 反馈","继承原库并规则复核","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","含敏感目标或重点设施关键词","高","LA-2025-0026","河北","唐山","陡河水库 无人机反制系统 双盲评审公开招标 中标公告","侦测反制系统/平台","中标/成交结果","是","唐山市陡河水库事务中心","公开信息未披露","","公开信息未披露","2025年6月19日","2025","B-公开转载/行业平台","较完整","https://www.bidcenter.com.cn/news-362127167-4.html","陡河水库 无人机反制系统 双盲评审公开招标 中标公告 -采招网 2025年6月19日 - 唐山市陡河水库事务中心陡河水库 无人机反制系统 (双盲评审)公开招标 中标公告 2025-06-19.Z1302002503172001陡河水库无人机反制系统(二次)(双盲... www.bidcenter.com.cn 反馈","继承原库并规则复核","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","含公安巡防/常态监管关键词","高","LA-2026-0027","河北","秦皇岛","秦皇岛市公安局无人机管控前端系统升级项目","侦测反制系统/平台","中标/成交结果","是","秦皇岛市公安局","279.5000 万元","279.5","中国铁塔股份有限公司秦皇岛市分公司、河北梓墨电子科技有限公司","2026-03-30","2026","B-公开转载/行业平台","完整","https://www.aamshanghai.com/jiangsu-yancheng-low-drone-bidding.html","公开低空招投标资讯披露：无人机管控前端系统升级项目，中标金额279.50万元。","补充检索新增；常态化管控类","无人机管控前端系统","系统平台/管控软件","无人机管控前端系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","日常巡防需求","硬件设备/装备","含敏感目标或重点设施关键词","高","LA-2024-0028","黑龙江","大兴安岭","大兴安岭边境管理支队 无人机反制 设备采购项目( 中标公告","侦测反制装备","中标/成交结果","是","大兴安岭边境管理支队","公开信息未披露","","公开信息未披露","2024年9月19日","2024","B-公开转载/行业平台","较完整","https://hlj.bidizhaobiao.com/info-532368962.html","大兴安岭边境管理支队 无人机反制 设备采购项目( 中标公告 )-黑龙江招标网 2024年9月19日 - 中华人民共和国黑龙江省出入境边防检查总站大兴安岭边境管理支队大兴安岭边境管理支队 无人机 反制设备采购项目成交 公告 .序号 供应商名称 货物 名称 货物... hlj.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","含敏感目标或重点设施关键词","高","LA-2024-0029","黑龙江","未识别","某部 无人机反制 系统采购项目( 中标公告","侦测反制系统/平台","中标/成交结果","是","某部","公开信息未披露","","福建灵信信息科技有限公司","2024年12月5日","2024","B-公开转载/行业平台","较完整","https://hlj.bidizhaobiao.com/info-565506186.html","某部 无人机反制 系统采购项目( 中标公告 )-黑龙江招标网 2024年12月5日 - 预成交 供应商 :福建灵信信息科技有限公司. 无人机反制 系统采购项目 采购结果 公告 一、 项目 名称 :某部 无人机反制 系统采购项目 二、项目编... 预成交 供应 ... hlj.bidizhaobiao.com 反馈","继承原库并规则复核；标题为中标/成交结果，阶段修正","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
