"项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"LA-2025-0096","未识别","未识别","某部 无人机反制 装备采购项目 中标公告","侦测反制装备","中标/成交结果","是","某部","公开信息未披露","","公开信息未披露","2025年1月8日","2025","B-公开转载/行业平台","待复核","https://m.zhaobiao.cn/zb/succeed_v_01edfc6375743b888c1d8c49187c29bc.html","某部 无人机反制 装备采购项目 中标公告 _招标网 2025年1月8日 - 公告 概要: 公告 信息: 采购项目名称 某部 无人机 反制装备采购项目 品目 货物/ 设备 /通信设备/无线电通信 设备 /无线电反制设备 采购单位 某部 行政区域 * ... m.zhaobiao.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0097","未识别","未识别","某部无人机反制系统建设-某部无人机反制系统建设成交结果公告","侦测反制服务/租赁","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年11月12日","2025","B-公开转载/行业平台","待复核","https://www.qianlima.com/bid-552832326.html","某部 无人机反制 系统建设-某部 无人机反制 系统建设 成交 结果 公告 -千里马... 2025年11月12日 - 无人机 反制系统建设 公告 招标详情.三、中标( 成交 )供应商情况 : 1、项目编号:2025-JHDSSS-W1002;2、中标单位 名称 :****;3、中标单位地址:**市**区**庄北... www.qianlima.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0098","未识别","未识别","无人机反制 设备第二批采购项目 中标 成交结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年9月17日","2025","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/newscontent-379582703-4.html","无人机反制 设备第二批采购项目 中标 成交结果 公告 -采招网 2025年9月17日 - 序号 标项名称 标的名称 品牌 规格型号 数量 单价(元) 1 无人机反制 设备(第二批)采购项目 手持 无人机 侦测设备 锐盾 RD-H2L 4 *.序号 供应商名称 ... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0099","未识别","未识别","无人机反制器材竞价成交公告","侦测反制装备","中标/成交结果","是","某单位","公开信息未披露","","公开信息未披露","2025年08月14日","2025","B-公开转载/行业平台","待复核","https://www.zhiliaobiaoxun.com/article/73683688","无人机反制 器材竞价 成交公告 2025年8月14日 - 项目 名称 无人机 反制 器材.序号 成交 供应商 名称 成交供应商地址 成交 金额(元).采购单位 某单位 采购单位联系人 经办人 联系方式 公告 结束后显示... www.zhiliaobiaoxun.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机反制器材","侦测反制装备/设备","无人机反制器材：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0100","未识别","未识别","无人机反制枪采购项目","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年07月29日","2025","B-公开转载/行业平台","待复核","https://www.qianlima.com/bid-526557419.html","无人机反制 枪采购项目采购结果公示(2025-JHBDDE-W4004)-千里马招标网 2025年7月29日 - 我部对 无人机 反制枪采购项目采购项目进行了询价采购,现就供应商评审排名及预 中标 (成交)结果公示如下:. 无人机 反制枪采购项目招标 公告 (2025-JHBDDE-W400... www.qianlima.com 反馈","脱敏或转载信息不足，未强行归省","无人机反制枪","便携/手持反制设备","无人机反制枪：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0101","未识别","未识别","无人机反制设备 采购 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年6月10日","2025","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/newscontent-360279871-4.html","无人机反制设备 采购 中标公告 -采招网 2025年6月10日 - 九、凡对本次 公告 内容提出询问,请按以下方式联系。.受业主委托,中国采招网于 2025/6/10 发布 无人机反制设备 采购 中标公告 ;项目简介: 中标结果公告 一、... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0102","未识别","未识别","无人机反制系统 采购( 中标公告","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月1日","2025","B-公开转载/行业平台","待复核","https://bj.bidizhaobiao.com/info-715431177.html","无人机反制系统 采购( 中标公告 )-北京招标网 2025年12月1日 - 供应商对预 中标 (成交)结果如有异议,应当自本公示期限内以书面形式向我部提出质疑。.项目所在地:北京 项目类别:物资 采购方式:公开招标 我部对 无人机反 ... bj.bidizhaobiao.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0103","未识别","未识别","无人机反制系统采购项目","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年03月06日","2025","B-公开转载/行业平台","待复核","https://www.qianlima.com/bid-489164406.html","无人机反制系统 采购项目 中标 (成交)结果公示-千里马招标网 2025年3月6日 - 我部对 无人机 反制系统采购项目采购项目进行了公开招标采购,现就供应商评审排名及预 中标 (成交)结果公示如下:. 无人机 反制系统采购项目招标 公告 2024-12-2... www.qianlima.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2026-0104","未识别","未识别","固定式 无人机反制 设备采购竞价 成交公告 竞价公告-采购与招标网(www.... 2026年4月2日","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2026年4月2日","2026","B-公开转载/行业平台","待复核","https://www.chinabidding.cn/zbgs/U-vzrodMB.html","固定式 无人机反制 设备采购竞价 成交公告 竞价公告-采购与招标网(www.... 2026年4月2日 - 项目 名称 :固定式 无人机 反制设备采购. 成交 供应商 名称 、联系地址及 成交 金额:.固定式 无人机 反制设备采购(项目编号:400-006-6655400-006-665506720)采购已... www.chinabidding.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2026-0105","未识别","未识别","无人机 及 无人机反制设备 采购项目 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2026年1月27日","2026","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-403044302-4.html","无人机 及 无人机反制设备 采购项目 中标公告 -采招网 2026年1月27日 - 查看附件 无人机 及无人机 反制 设备采购项目采购文件.docx.通过数据统计分析,按月度提供全国近一年的采购 中标 金额的变化趋势分布情况.二、项目名称: 无人 ... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2026-0106","未识别","未识别","无人机反制 设备采购项目 中标 成交结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2026年1月4日","2026","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-398309565-4.html","无人机反制 设备采购项目 中标 成交结果 公告 -采招网 2026年1月4日 - 品目编号 品目 名称 采购标的 品牌 规格型号 数量(单位) 单价(元) A* A* 无线电 反制 设备 便携式 无人机 察打一体设备 历正 潜盾W-D 1(套) * 五、评审... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2026-0107","未识别","未识别","无人机反制 设备竞价 成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2026年1月7日","2026","B-公开转载/行业平台","待复核","https://www.okcis.cn/20260107-n3-20260107180632501265.html","无人机反制 设备竞价 成交公告 -1 2026年1月7日 - 项目 名称 :无人机 反制 设备.招标采购导航网中标结果公示栏目,于2026年01月07日为您发布 无人机反制 设备竞价 成交公告 -1,内... 成交 供应商名称 、联系地址及 ... www.okcis.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
